var2_256_VB,var2_256_VNPC,var2_512_VB,var2_512_VNPC,var2_1024_VB,var2_1024_VNPC
0.129781113,0.101660865,0.101634551,0.103282406,0.039041392,0.068173801
0.123086627,0.12393634,0.090694643,0.120660159,0.074105499,0.110687382
0.101607502,0.111944291,0.074257811,0.114769823,0.041470065,0.117893822
0.168472996,0.103324182,0.049943695,0.089765142,0.089643809,0.08408414
0.150812336,0.087909535,0.095470892,0.078769815,0.074214174,0.083902527
0.137893886,0.096100425,0.057551975,0.088878134,0.066498343,0.060081894
0.135514389,0.164904825,0.096131506,0.073939972,0.08673341,0.067390361
0.114502935,0.088757609,0.063893457,0.073970634,0.058667751,0.080008388
0.125365561,0.159652161,0.120922864,0.134990841,0.065434582,0.057535585
0.130513152,0.122939243,0.103935782,0.078794772,0.062977861,0.087375885
0.171827747,0.12950478,0.059659876,0.09628222,0.071475823,0.098848921
0.088301684,0.163150592,0.080211753,0.104639651,0.079018436,0.061044434
0.130508952,0.101338886,0.110167065,0.113320051,0.084884208,0.058663694
0.125587019,0.182856416,0.113214226,0.106969747,0.067460174,0.068265833
0.09015405,0.116683469,0.120421778,0.078620144,0.099265652,0.063508926
0.111317562,0.118473348,0.078556744,0.138663993,0.05331863,0.072442493
0.079354039,0.111912446,0.075608799,0.091040643,0.082081441,0.07698443
0.11010668,0.113474178,0.050164756,0.092509687,0.05726803,0.066484968
0.115189943,0.107265077,0.072209318,0.085335917,0.093356021,0.104953293
0.115884707,0.096272577,0.067079804,0.131246996,0.08023016,0.129982546
0.113666837,0.121345411,0.135643846,0.129571217,0.039200044,0.082533787
0.148094472,0.127360421,0.061502187,0.097558893,0.064407988,0.099875989
0.170205983,0.131587745,0.039450369,0.090437819,0.063197248,0.064462425
0.12612412,0.153624941,0.104032438,0.106764648,0.063086374,0.108033181
0.119115554,0.164512508,0.157483739,0.109863703,0.083494181,0.0998596
0.097000594,0.107312333,0.089811179,0.091157685,0.08062889,0.073325737
0.09839911,0.130865171,0.039427195,0.131069282,0.098502941,0.100470753
0.110935822,0.111170796,0.116068468,0.140124846,0.069339392,0.098571551
0.156318075,0.109745609,0.102905805,0.09139701,0.067510974,0.072894051
0.11386273,0.186551984,0.158279723,0.134159705,0.050400514,0.07859059
0.07690995,0.114452997,0.079792227,0.099614307,0.105167427,0.114666222
0.123474894,0.107118001,0.07532848,0.102868494,0.042081508,0.076051657
0.129554824,0.077111742,0.060654109,0.142437498,0.076284242,0.122672042
0.104080456,0.173071703,0.084620602,0.1293691,0.088070042,0.096932677
0.138590458,0.127489244,0.147827503,0.096062208,0.052842099,0.065573836
0.105864957,0.118523797,0.094124822,0.113195034,0.063415811,0.06690786
0.111207343,0.113973186,0.113647788,0.109349899,0.048364659,0.087444756
0.12229162,0.147434054,0.058431897,0.103442243,0.067369282,0.0913448
0.11726304,0.178945421,0.062490038,0.136184881,0.050787071,0.110429998
0.139779584,0.130115463,0.056550831,0.091696391,0.063749604,0.093674404
0.184789736,0.110389907,0.112302548,0.093645612,0.061526914,0.083146432
0.115444555,0.097644606,0.112333229,0.112631125,0.071267284,0.095863682
0.133936651,0.117427164,0.100909651,0.177998589,0.064463751,0.092166386
0.091916558,0.085875638,0.132229866,0.099716076,0.037815043,0.052691332
0.079264582,0.123204663,0.115627761,0.149176373,0.054382032,0.058377904
0.133396359,0.110859845,0.127464447,0.09689125,0.058121376,0.081676332
0.075795777,0.105665127,0.09565005,0.093165789,0.108227723,0.082109164
0.152725467,0.239060709,0.044827132,0.134565888,0.049458207,0.060719021
0.112986871,0.138037196,0.075342151,0.132020311,0.044084294,0.135996112
0.148152625,0.105287017,0.103981902,0.102137142,0.052127096,0.10086511
0.179847369,0.084842755,0.124484946,0.053813598,0.066066717,0.074511573
0.138967429,0.182549128,0.060013951,0.0782994,0.039166155,0.089342414
0.112254102,0.129793307,0.13438402,0.055892962,0.073311812,0.072605325
0.116688324,0.273918386,0.109292644,0.102125974,0.043368662,0.114655026
