var2_256_SGVB,var2_256_VNPC,var2_512_SGVB,var2_512_VNPC,var2_1024_SGVB,var2_1024_VNPC
276.5916078,5157.384177,288.8247905,9588.367303,351.0865605,24060.50251
285.4675205,5366.277458,281.9213789,12153.92794,363.3611944,17010.69989
261.4879541,6031.030977,320.4475915,7740.969481,343.4382458,14191.23504
288.3851125,5491.829453,303.744832,8491.838366,318.1611981,21051.25945
270.2584333,5848.032899,299.6605501,12794.46772,358.5359826,18762.59114
267.3468695,8231.324447,279.3984189,9384.640676,298.0582535,14853.7719
279.0368073,5318.02932,283.4148629,8935.140197,360.2318439,17065.16036
279.4895325,4747.836752,299.5888238,9972.279394,342.0268164,18827.88136
280.2070601,5666.528543,291.8451641,8987.604295,326.4783161,21283.71999
266.6178105,5752.503492,404.3899174,8962.441962,344.6739807,20012.30882
270.3398452,5687.606006,407.5757887,8660.146175,314.6287806,25257.3394
265.9529612,5439.303064,287.4101677,8892.454516,316.5415478,14942.94009
316.4388959,5963.065878,292.0798433,9158.954147,302.0011871,20023.8043
328.5693216,5578.911902,295.5739274,12006.1954,332.4197791,17824.78424
334.1910319,5334.434941,299.5058396,11051.10989,301.5869865,14971.20767
337.8273175,5282.646415,302.5009856,8381.403079,319.4940078,18426.99145
261.7240682,6348.397123,331.5246077,10660.342,349.6076732,20879.07377
290.210196,4854.210279,458.7740941,12202.92519,345.5200584,15363.7452
316.4045374,5142.090677,392.7576892,9051.740916,305.1123803,23377.95002
283.0909684,6237.817711,284.9880846,7485.602408,381.9865639,21027.3261
269.0381999,5773.851596,282.1830873,8239.821126,308.9014566,17912.73929
276.7662511,5134.332151,312.2302647,9720.312122,340.7493572,18920.18981
331.4041667,5848.068158,280.8458862,13767.89744,346.2625558,23418.36668
278.381717,5573.863748,282.6736417,10019.66521,333.0779977,17449.76255
267.789428,5795.30941,332.2068009,8713.837867,356.0205324,20660.86948
273.5686474,4991.962305,284.6278141,12246.36293,350.3371348,22779.23429
281.7650545,6059.488978,306.3618751,9426.328251,336.8884013,25594.83979
332.0719869,5702.6237,296.0706592,10692.87054,422.1482966,21686.75925
267.4472427,5086.754456,399.2545063,9487.992382,342.6987135,20498.65584
275.2335489,6077.468501,287.4015763,8939.36102,340.3648477,18810.9755
265.0995431,5748.993262,288.0458956,9678.907501,312.6612892,15742.27238
272.2442479,5340.468446,308.8371234,9308.821336,326.0465686,19519.3373
280.802763,6711.047488,392.2995298,9420.730791,398.2039225,19129.85382
332.4356771,5923.009877,280.2367978,7874.915002,352.1379125,15098.18182
279.2907362,8243.423807,299.032501,9832.734156,359.7178917,18740.43672
331.1079452,4942.36284,284.134263,9649.227728,394.5883763,20410.19082
329.853991,4771.534392,293.7182779,12424.59403,341.2885287,19495.32012
271.2138698,5920.348811,307.3614728,10575.16495,491.1664171,20654.85104
264.4473722,5328.761788,440.0721714,8614.94554,338.8945303,23793.38511
270.6556137,5364.553996,381.4723694,8768.620082,332.7018752,20511.17806
276.4879782,4628.602115,310.0890253,9730.397586,314.1147962,20748.15031
274.2572591,5817.703709,332.4680512,7784.138359,401.9928567,15558.31989
279.4734895,7184.329035,305.070926,10546.04142,330.4965823,18573.12321
339.6742246,5294.723156,338.6807241,8917.805739,475.982348,21076.51686
259.9085512,5916.559042,280.3993773,7861.035327,471.7144041,16035.08919
278.2331455,4817.836826,306.3174531,8018.177346,441.5762639,21100.02288
343.6157546,6169.922024,339.5415008,9071.259559,354.1462545,14952.84715
264.4128513,5588.832448,322.1664379,9128.183791,385.2872453,18806.05662
279.2594151,5853.434425,284.296226,8430.569579,361.6217196,20240.63881
312.9873397,5667.921373,283.277854,11278.94704,351.5361125,19894.74866
270.1630986,4786.061662,293.0736651,11582.1571,458.6429656,28837.12232
278.2662973,5960.070418,284.872437,9949.961246,323.8254213,20528.0269
278.3247683,5603.662025,306.0574312,8433.960834,470.7361114,22714.29495
264.8816359,4760.629858,301.3278654,8766.338066,334.6307976,19687.37471
278.8126183,5116.184647,283.3195972,12635.38333,355.1335077,17475.32967
330.2000756,5429.070042,278.1785746,10410.3413,305.7172835,14669.17187
267.9016681,6015.178592,316.4263031,9509.281827,335.3777747,20542.49691
287.0579588,5725.227484,287.3761053,8562.799041,355.5173306,20282.36682
330.9918718,5144.667158,369.2926662,9606.431877,317.4170961,19724.78151
328.2351928,5356.90844,289.3160732,16552.9855,394.8004677,16490.31598
337.0782433,5432.54386,288.4064953,10062.60075,369.6955349,17789.30359
270.9805956,5083.95072,277.3876956,8408.379219,345.7512896,18413.27739
279.9756958,5773.640732,294.6442413,8762.115593,353.1904147,21201.81602
327.586556,5415.063227,359.307498,8046.25794,334.898314,14709.17472
333.5205896,4670.586411,366.6563122,10544.20592,400.57023,14849.60598
399.7740521,4629.955442,309.9055367,8611.52553,359.0115137,18763.08355
325.1255085,5781.871018,337.164808,8978.891501,334.2374022,22064.26944
330.8365052,10518.67933,491.4238679,12776.30116,344.0264466,20281.95135
269.0905662,4890.386745,293.740289,8990.629515,321.0780745,15897.71119
262.5093515,5587.263797,321.756598,11721.62567,395.3179805,17890.18346
313.3889694,4552.021562,301.7855291,9878.755195,346.7774408,17580.5636
332.415329,5091.327837,299.9350009,10304.28292,316.0361688,15638.65149
279.6446216,6288.658222,303.7630093,10082.24472,475.5197499,20263.22086
286.2318766,5893.900331,283.3150415,9453.235068,340.3372488,18737.93645
275.6820617,5944.79013,305.4367707,8825.828974,353.8734918,16064.91284
282.3765304,6323.244869,280.4770949,8656.265533,318.74472,18822.46556
275.7712004,4912.601611,282.3796041,13435.35509,316.9966829,20725.9693
313.5401287,4979.743705,390.1059299,8678.903165,321.9481955,21010.23899
258.9410846,4791.153644,292.7894869,9224.422293,315.9734704,18688.82494
312.8247836,5749.576098,313.2461834,8652.872033,313.5180397,20639.68188
330.771033,4760.072286,301.4587333,10198.04242,357.4233596,16890.70229
270.1613533,5274.710759,477.9770989,10380.23688,353.00914,16934.88657
311.5780346,5890.854973,282.3897953,9712.610478,304.8786087,19279.77423
262.9731903,6723.138177,393.0547371,7868.911348,316.6704938,14817.09501
281.9353127,5659.993394,287.1689088,9134.742246,403.1138237,15920.37599
350.4028866,5274.335479,293.0166957,10568.31805,471.8067832,19830.13406
277.6757269,5465.12781,281.6183853,13628.85836,351.2729988,19417.11488
311.0912848,5056.608131,314.2168317,8725.214611,352.5395532,16342.0374
327.2998025,4867.780451,292.8579047,9245.043061,311.7825358,22251.22445
260.7927077,5355.998472,329.8056564,11339.10437,297.304518,18674.2314
332.238909,5994.079598,427.6844742,8607.386945,349.1945148,19667.41932
336.0755036,4760.778865,379.427417,9010.559973,354.0671587,17778.46108
260.0059648,5542.816178,422.4124253,8867.603869,403.402916,18870.18682
263.3526003,5065.270241,285.8938072,9423.121699,338.0657439,17094.65811
329.9744029,5581.771514,299.4560649,8760.87734,350.6666527,22409.16676
277.4571705,4773.161219,280.9420807,9812.137537,405.5718179,15086.25692
330.3366804,5129.453861,396.1846111,11042.56053,360.6734607,14880.0351
288.6411321,5496.239609,279.5929012,8681.264822,332.998656,12855.51813
336.1935155,5147.069973,280.3071108,8529.15766,473.8249271,22759.67952
262.282541,5330.051336,381.5226798,13129.63228,356.341676,20300.50769
260.1476285,4756.678031,285.3716979,10344.30377,356.3423853,19480.17615
331.9532981,4543.45615,303.4110756,9792.823465,346.0717525,20107.0103
264.3190401,5924.928478,374.052217,11320.93467,345.4616654,17328.46718
268.9791725,4753.632677,325.5669017,8251.531487,428.2366378,18928.41098
407.4415877,5508.369097,281.1182814,8646.687193,349.9227164,19338.92196
335.1880269,5352.088312,326.4529731,9371.859205,345.5187147,15068.14739
276.7845066,4782.914676,395.7425737,10743.1184,425.2508059,18730.17856
268.0859067,5408.796418,322.9154873,8451.105918,330.481216,17329.1277
276.0945561,4959.712326,283.2390864,9112.251903,395.242496,18311.9537
290.7795141,5740.835155,281.8271911,16405.45381,423.5937016,23887.74471
278.8296087,4834.211956,329.1130645,8830.081312,266.9510076,17632.74912
278.1094143,4840.962047,330.5484812,10233.22628,404.179872,15646.2063
343.6986356,4583.484492,321.1011982,8025.489676,404.5145655,16087.31672
264.2447224,5509.117051,288.9949923,9049.78553,320.4618163,18365.03205
331.0747161,5557.021065,284.3220546,9736.780794,412.2110262,18539.32277
330.8471148,4764.848092,299.7719581,9332.443379,410.6179094,28553.15299
332.2017217,5513.119937,281.2329519,9303.424674,412.2314515,17467.02339
328.5093849,5050.917311,278.8469069,11042.98406,383.8301082,19638.70034
262.0738201,5887.30288,314.8518603,12864.87174,320.5351462,19611.56315
328.9906309,4698.458198,317.6894531,9038.484053,353.7123671,16652.24882
334.786366,5813.442758,325.3374305,9200.45838,361.4909208,28711.225
280.726454,5789.116838,397.8878407,11257.79177,324.558862,20875.6721
272.447571,5853.873812,280.1456344,9055.446812,347.4465744,18804.94899
270.2463806,5832.77339,310.1621268,8509.559662,316.6481006,17039.91935
263.8099682,5309.886339,297.9872074,9038.486536,321.8258376,23823.91163
323.9233675,4829.951058,453.5215969,10962.31083,352.1019433,14578.59008
263.7497501,5265.961763,298.3743758,11582.50352,354.6555834,17945.11649
328.4199448,5456.985668,326.760391,11087.716,332.7293379,16768.59465
290.6772513,5773.578034,280.803205,8700.035009,352.9948394,20517.00282
332.0132837,4984.687102,284.6189487,10117.05196,317.6500833,19670.99705
259.3870928,5770.378626,298.7715726,8283.867263,316.4085112,15779.6785
273.6222615,5233.391753,284.4937248,7747.807443,348.7723482,17952.48988
341.8701196,5281.137717,283.7696114,11289.4169,349.1436191,16009.09748
277.7249153,5809.922629,289.1373966,16203.39056,342.9460304,17812.32081
264.4106553,5746.80145,287.8796365,13140.59734,358.7553785,17000.93441
272.4787078,6417.494495,307.013195,8946.328479,395.9682488,16209.73093
270.7251489,5947.881446,287.312444,7921.593257,356.1492996,15426.5388
311.8442237,5763.280176,282.282037,9463.054313,308.7045023,23051.34608
336.0385926,6513.730342,289.9138384,9346.162968,329.7961729,27774.08989
408.2544386,5985.449316,303.5045073,10066.41369,351.1452231,17519.61594
280.3554659,4867.421374,285.5499194,9677.059201,321.4439018,23518.53841
273.1585975,4648.537833,304.347662,9157.73296,343.8378031,20207.6982
274.7343993,4632.425524,363.7996986,8141.825205,317.527071,25642.17961
335.402055,4672.290986,362.4147127,10834.05274,322.6667523,22684.2461
271.1528971,4850.368911,303.1349282,9291.668051,317.2171559,18015.17539
267.1755111,5874.765816,303.1571498,8173.376879,345.8224385,20177.42497
267.9241331,5597.92959,330.9242105,8934.238402,395.3525932,14618.12179
331.5937343,6403.999049,282.3167017,9059.204974,345.5056326,21453.44981
264.4194479,6180.181181,283.4553199,8874.927886,355.067544,17576.98821
338.3201053,5410.005585,304.2001374,8035.366004,377.1951132,20464.70161
268.5444663,5910.861889,317.8170829,9647.035097,354.8763831,22328.18251
266.6594417,7765.24419,295.1593335,10140.35782,404.6988819,18772.07678
287.6874554,6839.350627,297.6058018,10580.7322,304.8582778,14236.98821
332.753608,5729.341686,305.9850264,10170.99013,310.9640846,14552.96284
341.3938997,5515.273721,361.0018404,9479.830072,356.7151024,18396.77409
277.9267964,5061.851812,422.986227,9052.393048,327.1493566,18204.44706
332.0812538,5580.202005,325.7148969,8272.055513,436.8499937,19925.23599
261.6552298,5237.582415,279.9942715,8382.598627,311.3015065,20769.85449
333.8443573,4621.662143,350.0483575,9922.315075,352.3578999,18764.10105
343.034627,6674.192389,292.776685,8859.835472,471.6745906,17043.50474
336.4555101,5525.98387,283.9652493,10949.31114,321.6415591,17874.04496
326.5810144,6779.523091,306.0994756,11984.18027,299.6566899,21022.34019
337.9917569,5308.310905,278.3085473,9066.088657,361.6170771,24024.57447
258.2325404,5041.814258,316.6140473,8911.626264,354.5731971,14736.75245
279.7549305,4828.591653,288.4798653,9901.478291,476.5174448,17271.29439
328.5911586,5777.473241,330.2433991,8336.379098,267.49914,17075.38134
270.9265912,4972.682292,282.750185,11300.65091,343.1136725,16226.09841
277.0534189,5028.649276,282.0328491,8838.344127,422.1125195,15511.42574
329.6954184,5491.686222,299.568815,10305.7212,355.8900988,14703.71606
287.9774616,5644.022101,391.7151213,10604.85451,359.9968348,16600.6708
325.5911076,5054.416548,287.3460486,8893.726014,350.6467891,18359.23411
278.5647581,5693.534066,280.8520265,8780.46964,409.9779341,20766.69145
331.3904366,4929.939393,287.547852,8324.497073,394.2813408,15193.96004
261.983155,5400.814751,288.607224,7616.839485,335.1163538,17329.89896
284.8157063,4729.07017,282.4745593,8633.475587,331.3205338,17727.01764
339.6286774,5893.628636,286.2557516,9799.73617,352.9376194,18974.75797
274.4709637,5460.544081,312.2918,8400.108639,315.1409214,20346.30609
280.9231296,6708.797182,326.0960436,9261.329516,350.8187404,20182.32494
273.6755464,5836.668707,305.8513749,9923.732744,358.6651802,18409.50831
275.4448757,5387.364641,328.7766783,11165.47883,322.0382695,19547.87778
262.0455458,5750.349461,325.6260123,11086.26801,343.1480601,20673.77481
314.4789832,5567.484429,280.8666713,13764.58136,422.862505,18456.00351
290.9564719,4792.015142,282.7334924,8265.691734,384.8973908,15055.84589
280.7261493,5416.790056,292.2974317,11333.20473,354.3744771,16123.23588
279.814357,5929.08763,305.4235477,8724.446292,316.5935977,14724.56015
272.7302179,4746.269281,280.7325597,8211.988019,318.9732327,15008.94318
330.0301034,7379.670791,281.2998402,8183.741589,356.6880639,24466.73095
334.0236197,6553.755031,285.8710811,10981.20451,419.0895047,19257.61932
275.950989,5086.33884,323.8940029,8880.727695,346.5504544,18428.22176
313.2019498,4946.220432,305.1533537,11653.06465,357.1212099,16172.81055
332.9062071,5099.884663,282.894958,11665.58173,352.9514954,18908.46189
334.0377312,5200.831414,278.6852751,8758.853038,380.7667367,17408.86642
327.1975138,7680.305615,283.4068851,10644.31718,452.0129712,21364.09355
316.247503,4897.352151,370.3879743,9117.330011,475.245857,25279.75047
277.0478165,5215.582655,298.3915927,8689.611299,396.5964229,14358.13194
271.5679443,5046.291748,296.6167479,8273.551143,353.8792408,15429.91655
275.3920445,5726.775982,286.4375346,10659.53178,318.1999111,18222.40855
264.2172072,6656.435994,413.4078588,10881.6318,334.1155045,21721.17026
279.9256995,6009.133313,304.6659584,10024.7781,322.0606594,20709.67969
262.1424332,4945.855948,288.408972,9504.19813,321.1437967,23707.88556
329.4620168,4920.990373,334.1268334,9962.116914,339.044421,15237.88381
263.9549549,5463.781644,276.6860757,8968.016023,407.1580868,21721.8532
305.2442389,7080.779794,290.4543655,12908.85548,354.9168811,26527.37332
271.5801733,6212.702903,311.1664994,8193.437238,268.102361,20631.30392
300.798486,5613.257721,280.2211907,14576.00624,326.0584221,18175.05153
278.4559352,5707.453484,280.2453301,8687.033313,331.7125132,21601.16139
273.4492743,4958.674674,283.4320862,8280.018014,311.5629756,18955.08889
286.3175199,5218.906876,285.4668493,10863.19841,349.7948279,23587.16082
332.2487423,5119.586188,288.9647076,8577.559622,316.9914336,21052.53192
332.3763545,5360.345529,299.39678,9508.814215,394.963294,14506.49772
327.1180105,5280.599224,297.3250251,9305.79555,316.2745762,20970.70005
280.5906675,5390.525645,329.5284078,8435.298577,320.7760725,21500.65401
263.5492465,5570.313055,283.6256256,12387.34127,375.7928386,17317.45125
335.6073167,5973.946589,381.4719412,10495.97492,316.0146718,17893.29491
270.9404399,5155.912973,337.2781837,9807.045523,336.4700105,19749.15939
333.7290742,5593.651772,288.7547286,11651.50305,470.3514798,20747.99855
271.0585835,5358.414649,334.8143713,8011.666087,322.1061502,19321.28081
276.124655,5617.603469,332.2560141,9089.352389,332.8692083,19054.53895
324.9915729,4718.762074,289.2008581,8732.206168,382.0472305,19450.18172
268.0949953,4866.360276,309.7107136,8039.610173,316.5474381,22286.68565
272.1945362,5269.143473,304.2394018,9488.528314,393.9896145,16677.90581
270.3481092,5338.836388,307.3725579,8786.739271,423.9384837,17309.43381
330.1188064,6576.840187,281.9788537,8776.37888,315.2130263,16886.50549
260.3377984,6366.872031,316.899909,10753.96016,406.4171596,15296.61304
264.4677942,4892.511592,280.2655108,10958.88571,314.9445233,21005.00481
275.3984294,4997.644474,286.4959364,8754.382661,426.2972198,16603.22516
289.0223629,4936.783128,404.528414,8187.629995,394.4089723,17298.84089
263.6856563,5617.265023,299.6213856,8696.609481,316.4015782,15004.58196
264.3260961,5619.786511,289.9779932,10790.63905,298.3241916,15427.03756
261.2779133,5673.634009,364.1617439,11104.7071,339.1575594,17064.60208
262.1850345,5253.650519,280.6332998,8058.624012,394.5137305,18360.32925
330.164907,5121.36974,286.4282596,9155.803067,476.089077,20333.25899
285.0322905,5111.482802,288.2026284,10756.93305,350.0674846,20501.24547
269.8128135,5719.739192,297.3191702,8549.779677,317.1218035,22771.54778
338.6912227,5547.473073,279.6173387,12719.30516,316.0299311,17321.22229
266.2079399,6426.169637,288.5936034,10583.09541,314.7755156,18640.82983
277.8385642,4897.184241,280.9319632,13159.40203,392.2524326,16895.09234
272.592267,5508.81503,436.2103369,11034.24583,354.484319,15159.36268
331.6072402,5811.943862,361.4912963,9349.893656,361.809298,17290.70749
268.0289023,5779.053193,296.8477859,11516.98391,351.0941033,19066.32651
313.6951034,4617.980931,301.1000705,8453.207457,475.9945183,18964.33256
262.6856525,5173.160628,286.7933059,9138.835854,351.9027495,18214.63554
278.3655412,5018.798537,339.4303517,8040.950355,441.2866764,21286.69725
270.2501233,4697.017109,290.8269346,8829.445847,316.8888996,15588.6115
269.131541,6090.4907,330.4926548,12118.93361,355.5339947,17318.45092
316.5469677,5735.445563,282.2561018,9314.520646,313.3075597,20010.57609
310.9102714,5005.067002,304.6508548,8696.307161,348.8933618,18711.58045
273.5490119,4530.010554,280.0801146,8279.515252,315.7632563,18051.4088
277.2955067,5241.419883,370.9377279,12723.81028,345.1165833,18898.11351
269.6069832,4648.133222,298.8424509,9833.703059,322.8941493,16351.93921
308.3930697,4723.576098,303.704601,8791.475513,334.8936522,14460.24177
261.056798,5718.606192,280.0072389,10394.86123,344.2316985,19160.16544
280.0985365,5775.844123,476.6690774,8465.808101,362.9343953,15232.49908
279.2630768,5169.400477,297.8982916,12225.28259,426.8874555,14721.21221
292.1146295,5247.725718,286.4127002,9065.434085,394.7914438,15916.5666
328.4748805,9987.595184,282.6920624,9455.932233,319.0447676,15281.79297
278.6334577,5426.083089,307.90803,8504.934303,306.3966491,22578.60316
265.1114609,5502.971572,406.0559714,9614.917389,357.6749589,17992.32065
280.4043846,5191.247939,459.1880338,10978.68433,401.825135,16192.82772
334.2355084,5053.968048,302.1113451,11608.66406,358.4800053,19751.17733
277.1015718,5023.465698,301.4151285,8172.176244,315.9162626,19902.96123
324.3580308,5478.483927,280.3711238,9090.893632,408.1390662,19153.59893
263.7485564,5431.506087,293.064338,8953.350518,340.5695252,17494.96379
274.4123328,6008.032103,277.4656758,8879.071313,476.1727021,18177.36582
341.1275001,5853.157634,294.4312007,9345.040503,329.4089746,17498.35407
285.1005616,6115.308915,303.2289057,11208.43196,413.6379106,26412.8132
268.0885146,5086.053692,334.8192904,10745.45502,475.3404891,23416.13559
335.8536623,7359.23941,286.0274954,7766.848677,437.7725558,21004.48634
329.9519019,4717.983489,289.2107565,11023.53714,332.8875051,20237.35284
324.389816,5776.8334,288.1919813,8799.303643,309.6419523,17424.98553
333.4732242,5047.796043,288.7019646,8365.263166,459.6632321,17896.8363
315.1537557,6488.977051,322.4256401,9679.958081,302.4739835,19161.55558
331.059761,5763.625702,277.607959,10692.30008,312.0858722,15028.2039
267.9614263,5354.204825,320.5102634,12461.93249,434.1491475,14561.52927
265.9323177,5373.755027,288.9047294,8591.487215,314.7149911,17602.27982
317.4929614,7047.289728,286.5462146,11699.70411,353.7029338,17260.49993
261.0437074,5682.819345,298.4459524,9876.052648,334.3158853,20726.22629
283.6467826,6550.833646,285.0662081,10546.27336,378.9988599,16790.79443
348.0041502,6513.194784,283.1987429,9450.190509,349.0017469,22594.39578
263.9903903,5106.820688,285.9613981,9689.720158,432.9358087,27889.98522
283.8174455,5919.508175,283.6874936,7846.241766,354.5706003,20731.48056
334.8872042,5258.228674,325.1557453,8038.496312,386.1011169,16618.36932
315.3026748,4999.745466,396.8689098,10514.61602,342.6797068,14282.46972
258.9969652,4993.136329,424.7830067,8584.933685,346.7355754,19506.22707
265.8648877,4821.924577,366.0916927,8269.511546,427.6928594,17166.05431
348.7761562,6102.815087,339.0262711,8524.854849,361.0277197,22318.45586
