vma1_256_VB,vma1_256_VNPC,vma1_512_VB,vma1_512_VNPC,vma1_1024_VB,vma1_1024_VNPC
0.160862944,0.134956397,0.155047668,0.054190886,0.053357936,0.084527608
0.124776427,0.09333394,0.08617032,0.049172182,0.070119094,0.049646975
0.165429179,0.097671885,0.085970779,0.076492554,0.086971117,0.042520975
0.093306992,0.100372752,0.113391071,0.078034539,0.053759016,0.060657312
0.079178542,0.090849387,0.139576496,0.042427303,0.073545392,0.086081067
0.165811437,0.090334882,0.092990441,0.130441743,0.047166957,0.090374836
0.114369628,0.083437926,0.095683312,0.066197654,0.077809198,0.062654262
0.096972987,0.061305658,0.097443998,0.098135979,0.080324131,0.056581286
0.183897583,0.063108569,0.087660809,0.055931129,0.084391419,0.080104029
0.103966914,0.077094024,0.098502018,0.047273206,0.063938108,0.060095913
0.293763127,0.088901399,0.148813652,0.064612908,0.074660167,0.121802985
0.170233231,0.086419305,0.122865501,0.080672659,0.061555578,0.058097491
0.222520974,0.088017988,0.102164455,0.083607088,0.062536008,0.081416767
0.252327047,0.137196953,0.075115167,0.053528083,0.070825242,0.053377935
0.092230449,0.113981904,0.083165775,0.06332141,0.106769379,0.054874448
0.163042891,0.09606736,0.100889809,0.081259639,0.040920894,0.044875484
0.100271316,0.08323851,0.215193837,0.067928443,0.056774217,0.070703161
0.215024304,0.096554662,0.110985126,0.084182453,0.061308015,0.049003212
0.17361422,0.095449872,0.074525427,0.099129261,0.049236068,0.057667281
0.091845205,0.129576265,0.092029153,0.082546342,0.068408971,0.057061083
0.133144095,0.059997788,0.141969323,0.069250312,0.096308871,0.044397358
0.084413744,0.111228157,0.080186783,0.088096819,0.058810456,0.076975758
0.153060558,0.099771883,0.072817371,0.096219987,0.097162649,0.067440721
0.149284051,0.094559452,0.080744556,0.059532725,0.074213618,0.098301342
0.109346637,0.041749071,0.137952819,0.090113278,0.073872817,0.061534545
0.110834718,0.072360377,0.114025909,0.111434816,0.062006543,0.074681022
0.119047653,0.105600453,0.147989159,0.109574411,0.055400594,0.042919652
0.1353957,0.087095466,0.104542915,0.05049349,0.076937028,0.056024915
0.108837718,0.137654299,0.177882518,0.068222849,0.072258654,0.076042847
0.105705508,0.086051266,0.075983216,0.046029212,0.04712338,0.061758851
0.104899969,0.051691238,0.08981441,0.164243434,0.078959246,0.062478983
0.175921546,0.06496066,0.098724741,0.056665931,0.064267062,0.031110925
0.139489189,0.085860209,0.147229361,0.061885749,0.06716084,0.061532254
0.139369568,0.097758574,0.085570533,0.03807883,0.043339544,0.092911888
0.15112077,0.136725109,0.092244997,0.103063993,0.104875317,0.054808333
0.162866912,0.097788838,0.078417192,0.097127127,0.086939633,0.070688919
0.104869981,0.069597052,0.088138935,0.053887428,0.074277735,0.069217065
0.15431723,0.126093114,0.081233698,0.1141722,0.097666082,0.061261513
0.151993284,0.065409457,0.14890275,0.050710475,0.063760655,0.059944267
0.104453506,0.13888676,0.082593136,0.073462814,0.056587401,0.080755425
0.173189789,0.059344363,0.165760528,0.038245016,0.115225048,0.063490774
0.078279975,0.135671833,0.067453751,0.089092639,0.065494709,0.054578667
0.135634044,0.115721782,0.127578803,0.085738767,0.059803944,0.03337231
0.227929911,0.123588636,0.112713135,0.069682016,0.074639629,0.059002373
0.117828969,0.082703602,0.116863337,0.081893587,0.068912883,0.095992089
0.102785134,0.09450126,0.101926592,0.051161457,0.099014151,0.05545347
0.114566117,0.068142726,0.08243842,0.058878522,0.073529766,0.067300199
0.112780069,0.068062309,0.104185189,0.093776508,0.07572006,0.059850673
0.133516137,0.106355289,0.117448277,0.063312785,0.062052994,0.074802866
0.129279907,0.0481501,0.079619832,0.041201452,0.049876088,0.03827311
0.133948031,0.160695896,0.094848705,0.061787978,0.073846814,0.048562373
0.197304709,0.103585533,0.108123414,0.077458647,0.049340743,0.068796507
0.189075956,0.065179639,0.068834665,0.123131432,0.053401748,0.066533793
0.260867251,0.112442833,0.084105947,0.060439265,0.054468302,0.08722209
0.129775626,0.053456756,0.114598855,0.092409362,0.071186041,0.060590309
0.176572757,0.105189265,0.071052321,0.08317109,0.048888294,0.074417408
0.100550481,0.124098187,0.152505421,0.041414357,0.045739875,0.043289813
0.113763465,0.07436581,0.084585536,0.057270594,0.083464834,0.054391212
0.137848748,0.07289151,0.118629016,0.077677097,0.083537388,0.056133725
0.176230972,0.080216363,0.113778122,0.094796171,0.072451833,0.051896322
0.135331878,0.1049506,0.128308865,0.060321871,0.069729421,0.058805379
0.125738209,0.081941142,0.09332602,0.048714336,0.071521,0.056810654
0.214976529,0.119983138,0.109477378,0.088055085,0.073189318,0.057732934
0.142749726,0.065584247,0.135115532,0.101980431,0.049056073,0.072058044
0.19993751,0.137233088,0.081201687,0.131076652,0.0927132,0.039700656
0.225126797,0.105096439,0.079693967,0.046025283,0.063644534,0.09092073
0.081054594,0.094936687,0.151872714,0.063291362,0.092037237,0.098512876
0.117192137,0.074302917,0.114043764,0.092702784,0.078488936,0.046458237
0.081379604,0.163867905,0.084009718,0.10118628,0.04832077,0.05206068
0.094751927,0.084118005,0.069064352,0.076399818,0.065834637,0.087710839
0.17540405,0.129849267,0.088055574,0.051932093,0.062411234,0.059313651
0.10868276,0.086578121,0.078660077,0.091865295,0.089505297,0.057055339
0.091457044,0.050662035,0.093773457,0.069328191,0.06202852,0.083363096
0.139239477,0.146513704,0.192665228,0.075581629,0.071655307,0.051966567
0.154327598,0.082964714,0.143672781,0.085518648,0.062380175,0.074493684
0.107944043,0.0582835,0.092704686,0.04179606,0.088319296,0.044639062
0.148963036,0.111975299,0.110481408,0.167550733,0.06225763,0.063562985
0.08621571,0.078904268,0.115048067,0.072359315,0.046694509,0.067544366
0.143749632,0.136950138,0.096916214,0.079614129,0.059167933,0.055430312
0.124494693,0.088145351,0.09296872,0.070053704,0.065660991,0.046544399
0.114377962,0.070159682,0.093187343,0.047837872,0.099633459,0.047507281
0.160689024,0.083793911,0.139428008,0.066343331,0.090516911,0.059520113
